Loyalty Number,Year,Month,Flights Booked,Flights with Companions,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed
101902,2017,1,0,0,0,0,0.0,0,0
101902,2017,1,0,0,0,0,0.0,0,0
112142,2017,1,0,0,0,0,0.0,0,0
112142,2017,1,0,0,0,0,0.0,0,0
126100,2017,1,0,0,0,0,0.0,0,0
126100,2017,1,0,0,0,0,0.0,0,0
130331,2017,1,0,0,0,0,0.0,0,0
130331,2017,1,0,0,0,0,0.0,0,0
135421,2017,1,0,0,0,0,0.0,0,0
135421,2017,1,0,0,0,0,0.0,0,0
156031,2017,1,0,0,0,0,0.0,0,0
156031,2017,1,0,0,0,0,0.0,0,0
106509,2017,1,0,0,0,0,0.0,0,0
106509,2017,1,0,0,0,0,0.0,0,0
106509,2017,2,0,0,0,0,0.0,0,0
106509,2017,2,0,0,0,0,0.0,0,0
106509,2017,3,0,0,0,0,0.0,0,0
106509,2017,3,0,0,0,0,0.0,0,0
106509,2017,4,0,0,0,0,0.0,0,0
106509,2017,4,0,0,0,0,0.0,0,0
106509,2017,5,0,0,0,0,0.0,0,0
106509,2017,5,0,0,0,0,0.0,0,0
106509,2017,6,0,0,0,0,0.0,0,0
106509,2017,6,0,0,0,0,0.0,0,0
106509,2017,7,0,0,0,0,0.0,0,0
106509,2017,7,0,0,0,0,0.0,0,0
106509,2017,8,0,0,0,0,0.0,0,0
106509,2017,8,0,0,0,0,0.0,0,0
106509,2017,9,0,0,0,0,0.0,0,0
106509,2017,9,0,0,0,0,0.0,0,0
106509,2017,10,0,0,0,0,0.0,0,0
106509,2017,10,0,0,0,0,0.0,0,0
106509,2017,11,0,0,0,0,0.0,0,0
106509,2017,11,0,0,0,0,0.0,0,0
106509,2017,12,0,0,0,0,0.0,0,0
106509,2017,12,0,0,0,0,0.0,0,0
106509,2018,1,0,0,0,0,0.0,0,0
106509,2018,1,0,0,0,0,0.0,0,0
106509,2018,2,0,0,0,0,0.0,0,0
106509,2018,2,0,0,0,0,0.0,0,0
106509,2018,3,0,0,0,0,0.0,0,0
106509,2018,3,0,0,0,0,0.0,0,0
106509,2018,4,0,0,0,0,0.0,0,0
106509,2018,4,0,0,0,0,0.0,0,0
106509,2018,5,0,0,0,0,0.0,0,0
106509,2018,5,0,0,0,0,0.0,0,0
193662,2017,1,0,0,0,0,0.0,0,0
193662,2017,1,0,0,0,0,0.0,0,0
106509,2018,6,0,0,0,0,0.0,0,0
106509,2018,6,0,0,0,0,0.0,0,0
106509,2018,7,0,0,0,0,0.0,0,0
106509,2018,7,0,0,0,0,0.0,0,0
106509,2018,9,0,0,0,0,0.0,0,0
106509,2018,9,0,0,0,0,0.0,0,0
106509,2018,11,0,0,0,0,0.0,0,0
106509,2018,11,0,0,0,0,0.0,0,0
106509,2018,12,0,0,0,0,0.0,0,0
106509,2018,12,0,0,0,0,0.0,0,0
208241,2017,1,0,0,0,0,0.0,0,0
208241,2017,1,0,0,0,0,0.0,0,0
224676,2017,1,0,0,0,0,0.0,0,0
224676,2017,1,0,0,0,0,0.0,0,0
237094,2017,1,0,0,0,0,0.0,0,0
237094,2017,1,0,0,0,0,0.0,0,0
243741,2017,1,0,0,0,0,0.0,0,0
243741,2017,1,0,0,0,0,0.0,0,0
263267,2017,1,0,0,0,0,0.0,0,0
263267,2017,1,0,0,0,0,0.0,0,0
304600,2017,1,0,0,0,0,0.0,0,0
304600,2017,1,0,0,0,0,0.0,0,0
308480,2017,1,0,0,0,0,0.0,0,0
308480,2017,1,0,0,0,0,0.0,0,0
322169,2017,1,0,0,0,0,0.0,0,0
322169,2017,1,0,0,0,0,0.0,0,0
328623,2017,1,0,0,0,0,0.0,0,0
328623,2017,1,0,0,0,0,0.0,0,0
342569,2017,1,0,0,0,0,0.0,0,0
342569,2017,1,0,0,0,0,0.0,0,0
342945,2017,1,0,0,0,0,0.0,0,0
342945,2017,1,0,0,0,0,0.0,0,0
351937,2017,1,0,0,0,0,0.0,0,0
351937,2017,1,0,0,0,0,0.0,0,0
354438,2017,1,0,0,0,0,0.0,0,0
354438,2017,1,0,0,0,0,0.0,0,0
357901,2017,1,0,0,0,0,0.0,0,0
357901,2017,1,0,0,0,0,0.0,0,0
361680,2017,1,0,0,0,0,0.0,0,0
361680,2017,1,0,0,0,0,0.0,0,0
368073,2017,1,0,0,0,0,0.0,0,0
368073,2017,1,0,0,0,0,0.0,0,0
369638,2017,1,0,0,0,0,0.0,0,0
369638,2017,1,0,0,0,0,0.0,0,0
373638,2017,1,0,0,0,0,0.0,0,0
373638,2017,1,0,0,0,0,0.0,0,0
402697,2017,1,0,0,0,0,0.0,0,0
402697,2017,1,0,0,0,0,0.0,0,0
403529,2017,1,0,0,0,0,0.0,0,0
403529,2017,1,0,0,0,0,0.0,0,0
407404,2017,1,0,0,0,0,0.0,0,0
407404,2017,1,0,0,0,0,0.0,0,0
411030,2017,1,0,0,0,0,0.0,0,0
411030,2017,1,0,0,0,0,0.0,0,0
417240,2017,1,0,0,0,0,0.0,0,0
417240,2017,1,0,0,0,0,0.0,0,0
455758,2017,1,0,0,0,0,0.0,0,0
455758,2017,1,0,0,0,0,0.0,0,0
460272,2017,1,0,0,0,0,0.0,0,0
